epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
162/299,10.9G,0.03037,0.008177,0,0.03855,199,640,0.9305,0.9151,0.9535,0.6277,0.05701,0.01902,0
163/299,10.9G,0.03105,0.008013,0,0.03906,168,640,0.9446,0.8986,0.9548,0.6326,0.05792,0.01861,0
164/299,10.9G,0.03087,0.008145,0,0.03901,226,640,0.9429,0.8962,0.9488,0.6283,0.05751,0.01892,0
165/299,10.9G,0.0297,0.008179,0,0.03788,185,640,0.9497,0.8909,0.9535,0.6347,0.05778,0.01869,0
166/299,10.9G,0.02999,0.008541,0,0.03853,228,640,0.9614,0.8821,0.9537,0.6282,0.05748,0.01884,0
167/299,10.9G,0.03091,0.007686,0,0.03859,170,640,0.9229,0.9057,0.948,0.6147,0.05865,0.01889,0
168/299,10.9G,0.02975,0.008026,0,0.03777,190,640,0.9448,0.8892,0.9525,0.6228,0.05925,0.01854,0
169/299,10.9G,0.02984,0.008029,0,0.03787,159,640,0.9209,0.9056,0.9441,0.6201,0.0579,0.01877,0
170/299,10.9G,0.03136,0.008189,0,0.03954,229,640,0.9093,0.9219,0.9556,0.633,0.05666,0.01904,0
171/299,10.9G,0.03043,0.008098,0,0.03852,176,640,0.9341,0.9033,0.9535,0.6346,0.05562,0.01924,0
172/299,10.9G,0.02908,0.007982,0,0.03707,168,640,0.9272,0.9316,0.9637,0.648,0.0551,0.01897,0
173/299,10.9G,0.02971,0.007935,0,0.03765,190,640,0.9572,0.8986,0.9644,0.6366,0.05554,0.01906,0
174/299,10.9G,0.03102,0.007814,0,0.03883,183,640,0.9645,0.8962,0.9634,0.6349,0.05641,0.01937,0
175/299,10.9G,0.03242,0.007724,0,0.04015,169,640,0.9392,0.9127,0.9653,0.631,0.05667,0.01873,0
176/299,10.9G,0.02838,0.007804,0,0.03618,198,640,0.9218,0.9174,0.9603,0.6397,0.0562,0.01903,0
177/299,10.9G,0.03042,0.008271,0,0.03869,184,640,0.9424,0.8939,0.9574,0.6375,0.056,0.01902,0
178/299,10.9G,0.02959,0.007983,0,0.03757,172,640,0.9216,0.9151,0.9534,0.6346,0.056,0.01886,0
179/299,10.9G,0.02951,0.007779,0,0.03729,172,640,0.9135,0.9245,0.9577,0.6371,0.05652,0.0189,0
180/299,10.9G,0.02938,0.007978,0,0.03736,213,640,0.9084,0.9363,0.9606,0.6418,0.05616,0.01879,0
181/299,10.9G,0.02924,0.007709,0,0.03695,226,640,0.9324,0.9127,0.9546,0.6498,0.0558,0.01897,0
182/299,10.9G,0.02906,0.008195,0,0.03725,178,640,0.9258,0.9124,0.9565,0.6463,0.05557,0.01899,0
183/299,10.9G,0.02987,0.007762,0,0.03763,175,640,0.9238,0.915,0.9574,0.6447,0.05645,0.01874,0
184/299,10.9G,0.0305,0.008214,0,0.03871,228,640,0.9364,0.9032,0.9559,0.6337,0.05696,0.01857,0
185/299,10.9G,0.0295,0.007824,0,0.03732,190,640,0.9365,0.9057,0.9561,0.6465,0.05592,0.01889,0
186/299,10.9G,0.02864,0.007576,0,0.03622,157,640,0.9053,0.9245,0.9597,0.6476,0.05551,0.0191,0
187/299,10.9G,0.02916,0.007483,0,0.03664,175,640,0.9519,0.8868,0.9639,0.6463,0.05645,0.019,0
188/299,10.9G,0.02872,0.007726,0,0.03644,220,640,0.918,0.9245,0.9576,0.6538,0.05574,0.01914,0
189/299,10.9G,0.02979,0.007871,0,0.03766,189,640,0.924,0.9173,0.9562,0.6462,0.05578,0.0191,0
190/299,10.9G,0.03005,0.007487,0,0.03753,174,640,0.9168,0.9363,0.9645,0.6454,0.05621,0.01844,0
191/299,10.9G,0.02927,0.007816,0,0.03709,193,640,0.9638,0.8796,0.9595,0.6449,0.05716,0.01826,0
192/299,10.9G,0.0292,0.007897,0,0.0371,181,640,0.9184,0.9292,0.9615,0.6466,0.05703,0.01897,0
193/299,10.9G,0.02904,0.007741,0,0.03678,195,640,0.9209,0.934,0.9612,0.6361,0.0562,0.01956,0
194/299,10.9G,0.02874,0.007882,0,0.03663,189,640,0.9212,0.9103,0.9522,0.6361,0.05727,0.01953,0
195/299,10.9G,0.0282,0.007497,0,0.0357,179,640,0.9389,0.908,0.9504,0.6185,0.05729,0.01928,0
196/299,10.9G,0.02912,0.007794,0,0.03692,178,640,0.9593,0.8915,0.9573,0.6387,0.05707,0.01908,0
197/299,10.9G,0.02867,0.00762,0,0.03629,201,640,0.9172,0.915,0.9575,0.6383,0.05654,0.01925,0
198/299,10.9G,0.02832,0.007912,0,0.03623,220,640,0.9236,0.9151,0.9615,0.6376,0.05623,0.01925,0
199/299,10.9G,0.02855,0.007995,0,0.03655,187,640,0.9451,0.8986,0.9561,0.6453,0.05551,0.01953,0
200/299,10.9G,0.02866,0.007465,0,0.03612,187,640,0.9306,0.9174,0.9538,0.6411,0.05497,0.01958,0
201/299,10.9G,0.02786,0.007993,0,0.03585,157,640,0.9288,0.9245,0.9531,0.6339,0.05496,0.01938,0
202/299,10.9G,0.02848,0.007581,0,0.03607,204,640,0.9203,0.9269,0.9559,0.6428,0.05465,0.01988,0
203/299,10.9G,0.02806,0.007951,0,0.03601,219,640,0.9045,0.9387,0.9609,0.6497,0.05444,0.02,0
204/299,10.9G,0.02743,0.007391,0,0.03482,195,640,0.9221,0.9222,0.9613,0.651,0.05458,0.01982,0
205/299,10.9G,0.02813,0.007821,0,0.03595,166,640,0.9157,0.9221,0.957,0.6406,0.055,0.01934,0
206/299,10.9G,0.02741,0.007475,0,0.03488,219,640,0.9122,0.9315,0.9575,0.6359,0.05502,0.01966,0
207/299,10.9G,0.02708,0.007603,0,0.03468,167,640,0.9258,0.9127,0.9603,0.6525,0.05421,0.02011,0
