epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
126/299,17.4G,0.0334,0.008994,0,0.04239,184,640,0.9441,0.8797,0.9438,0.5935,0.05997,0.01836,0
127/299,17.4G,0.03427,0.009445,0,0.04372,180,640,0.9352,0.8868,0.947,0.6024,0.0595,0.01945,0
128/299,17.4G,0.03294,0.009504,0,0.04244,190,640,0.9149,0.9126,0.9467,0.6134,0.05789,0.01934,0
129/299,17.4G,0.03331,0.009138,0,0.04245,164,640,0.9583,0.8679,0.9441,0.6056,0.05917,0.01903,0
130/299,17.4G,0.03474,0.009227,0,0.04396,202,640,0.942,0.8818,0.9456,0.6072,0.05895,0.01935,0
131/299,17.4G,0.03456,0.00906,0,0.04362,171,640,0.9542,0.8844,0.9462,0.5938,0.05824,0.01915,0
132/299,17.4G,0.03465,0.009335,0,0.04398,186,640,0.9446,0.8892,0.9415,0.5937,0.05785,0.01858,0
133/299,17.4G,0.03155,0.008927,0,0.04048,210,640,0.9272,0.9008,0.9469,0.5963,0.05766,0.01895,0
134/299,17.4G,0.0352,0.009197,0,0.0444,201,640,0.9364,0.8703,0.9413,0.6006,0.0571,0.01941,0
135/299,17.4G,0.03517,0.009325,0,0.0445,188,640,0.9017,0.8866,0.9375,0.595,0.05997,0.01877,0
136/299,17.4G,0.03414,0.009277,0,0.04341,196,640,0.9219,0.8632,0.9362,0.593,0.06002,0.01961,0
137/299,17.4G,0.03261,0.009421,0,0.04203,200,640,0.9149,0.8892,0.9321,0.5934,0.05983,0.01951,0
138/299,17.4G,0.03402,0.009439,0,0.04346,174,640,0.9278,0.8844,0.9341,0.5822,0.05924,0.01997,0
139/299,17.4G,0.03498,0.008948,0,0.04393,180,640,0.9343,0.8726,0.9325,0.579,0.05826,0.01987,0
140/299,17.4G,0.03443,0.009618,0,0.04404,211,640,0.9104,0.9104,0.9358,0.5822,0.05821,0.0197,0
141/299,17.4G,0.03348,0.00937,0,0.04285,175,640,0.9235,0.8821,0.94,0.593,0.05963,0.01857,0
142/299,17.4G,0.03289,0.009253,0,0.04214,200,640,0.9218,0.8891,0.9435,0.5917,0.05932,0.01877,0
143/299,17.4G,0.03291,0.009263,0,0.04218,178,640,0.9172,0.8892,0.9429,0.601,0.0586,0.01889,0
144/299,17.4G,0.03244,0.009402,0,0.04184,184,640,0.9101,0.8839,0.945,0.6025,0.06046,0.01869,0
145/299,17.4G,0.03341,0.008429,0,0.04184,176,640,0.9395,0.8844,0.9443,0.612,0.06011,0.01927,0
146/299,17.4G,0.03261,0.009319,0,0.04193,231,640,0.9235,0.8939,0.9426,0.5998,0.05932,0.01891,0
147/299,17.4G,0.0346,0.00875,0,0.04335,199,640,0.9173,0.8891,0.9445,0.6025,0.05842,0.01925,0
148/299,17.4G,0.03168,0.009502,0,0.04118,215,640,0.9286,0.8891,0.9391,0.6015,0.06065,0.01825,0
149/299,17.4G,0.03331,0.009396,0,0.04271,210,640,0.9312,0.8937,0.9428,0.6127,0.06013,0.01853,0
150/299,17.4G,0.03294,0.009706,0,0.04265,205,640,0.9288,0.8939,0.9442,0.6154,0.05947,0.01887,0
151/299,17.4G,0.0333,0.00903,0,0.04233,179,640,0.889,0.908,0.9463,0.6109,0.05985,0.01848,0
152/299,17.4G,0.03349,0.008917,0,0.04241,205,640,0.94,0.8868,0.9493,0.6178,0.0598,0.01836,0
153/299,17.4G,0.03117,0.009107,0,0.04028,212,640,0.9242,0.8986,0.9428,0.6061,0.06003,0.01847,0
154/299,17.4G,0.03241,0.00893,0,0.04134,210,640,0.9088,0.917,0.9422,0.6074,0.05995,0.01897,0
155/299,17.4G,0.032,0.009179,0,0.04118,189,640,0.9177,0.8938,0.9456,0.607,0.05973,0.01883,0
156/299,17.4G,0.03193,0.009045,0,0.04098,192,640,0.93,0.8771,0.9474,0.6051,0.05996,0.01876,0
157/299,17.4G,0.03367,0.008906,0,0.04258,205,640,0.9353,0.8868,0.9519,0.6119,0.05939,0.01868,0
158/299,17.4G,0.03294,0.008671,0,0.04161,184,640,0.9287,0.8912,0.9545,0.619,0.05952,0.01901,0
159/299,17.4G,0.03335,0.008757,0,0.04211,207,640,0.9521,0.8939,0.9513,0.6224,0.05885,0.01876,0
160/299,17.4G,0.0314,0.008446,0,0.03984,192,640,0.9335,0.8938,0.9507,0.6172,0.05892,0.01872,0
161/299,17.4G,0.0317,0.008745,0,0.04045,181,640,0.9262,0.8892,0.949,0.6158,0.05845,0.01899,0
162/299,17.4G,0.03117,0.00883,0,0.04,199,640,0.9373,0.8818,0.9448,0.6203,0.0575,0.01932,0
163/299,17.4G,0.03218,0.008848,0,0.04103,168,640,0.9268,0.896,0.9535,0.623,0.05803,0.01879,0
164/299,17.4G,0.03247,0.008892,0,0.04136,226,640,0.9129,0.915,0.9539,0.6313,0.05849,0.01872,0
165/299,17.4G,0.03111,0.008915,0,0.04002,185,640,0.9303,0.9125,0.958,0.625,0.05828,0.01859,0
166/299,17.4G,0.03145,0.009319,0,0.04077,228,640,0.9468,0.8814,0.9509,0.6257,0.05797,0.01862,0
167/299,17.4G,0.03148,0.008463,0,0.03994,170,640,0.9287,0.8939,0.951,0.6106,0.05834,0.01833,0
168/299,17.4G,0.03077,0.008764,0,0.03953,190,640,0.918,0.9009,0.95,0.6126,0.05858,0.01861,0
169/299,17.4G,0.03135,0.008808,0,0.04015,159,640,0.9377,0.8892,0.9471,0.6132,0.05808,0.01911,0
170/299,17.4G,0.03225,0.008739,0,0.04099,229,640,0.9238,0.8868,0.9439,0.6147,0.05757,0.01948,0
171/299,17.4G,0.03163,0.008854,0,0.04048,176,640,0.8993,0.9268,0.9468,0.6122,0.05684,0.01964,0
172/299,17.4G,0.03068,0.008564,0,0.03924,168,640,0.9238,0.9151,0.9511,0.6183,0.05648,0.01905,0
173/299,17.4G,0.03061,0.008649,0,0.03925,190,640,0.8973,0.9268,0.9481,0.6173,0.05743,0.01872,0
174/299,17.4G,0.03112,0.008382,0,0.0395,183,640,0.9006,0.9198,0.9424,0.6141,0.05843,0.01911,0
175/299,17.4G,0.03256,0.008339,0,0.0409,169,640,0.9319,0.9032,0.9447,0.6135,0.05872,0.01883,0
176/299,17.4G,0.03017,0.008522,0,0.03869,198,640,0.9214,0.9127,0.9522,0.6207,0.05744,0.01897,0
177/299,17.4G,0.03219,0.008917,0,0.04111,184,640,0.906,0.9104,0.9503,0.6221,0.05822,0.01924,0
178/299,17.4G,0.03026,0.008807,0,0.03907,172,640,0.927,0.8986,0.9482,0.6198,0.05663,0.01939,0
179/299,17.4G,0.03086,0.008518,0,0.03938,172,640,0.9207,0.9032,0.9456,0.6217,0.05644,0.0195,0
180/299,17.4G,0.03088,0.008704,0,0.03958,213,640,0.9121,0.9056,0.9499,0.6166,0.05657,0.0195,0
181/299,17.4G,0.03059,0.008264,0,0.03885,226,640,0.9226,0.9009,0.9525,0.6257,0.05648,0.01944,0
182/299,17.4G,0.03129,0.008916,0,0.0402,178,640,0.9424,0.8868,0.9504,0.6221,0.05582,0.01975,0
183/299,17.4G,0.03096,0.008542,0,0.03951,175,640,0.9305,0.8844,0.9414,0.6169,0.05718,0.01932,0
184/299,17.4G,0.03148,0.009046,0,0.04053,228,640,0.9106,0.8891,0.943,0.6176,0.05796,0.01905,0
185/299,17.4G,0.03113,0.008583,0,0.03972,190,640,0.8947,0.922,0.9486,0.6261,0.05713,0.01907,0
186/299,17.4G,0.03008,0.008332,0,0.03841,157,640,0.9082,0.9104,0.9475,0.6217,0.057,0.01889,0
187/299,17.4G,0.03099,0.008297,0,0.03929,175,640,0.9212,0.8821,0.9478,0.6249,0.05697,0.01938,0
188/299,17.4G,0.02926,0.008443,0,0.0377,220,640,0.9022,0.8962,0.9473,0.6219,0.05745,0.01938,0
189/299,17.4G,0.03139,0.008543,0,0.03993,189,640,0.9143,0.9055,0.9494,0.6245,0.05755,0.01924,0
190/299,17.4G,0.03145,0.008205,0,0.03965,174,640,0.9088,0.9175,0.9496,0.6315,0.05713,0.01901,0
191/299,17.4G,0.03033,0.008613,0,0.03895,193,640,0.904,0.9102,0.9463,0.6251,0.05693,0.01906,0
192/299,17.4G,0.02979,0.008523,0,0.03831,181,640,0.9174,0.9175,0.9499,0.6289,0.05575,0.01951,0
193/299,17.4G,0.03053,0.008617,0,0.03914,195,640,0.9167,0.9104,0.9506,0.6321,0.056,0.01954,0
194/299,17.4G,0.02907,0.008586,0,0.03765,189,640,0.9089,0.9198,0.9453,0.6257,0.05748,0.0191,0
195/299,17.4G,0.02938,0.008327,0,0.03771,179,640,0.9212,0.9104,0.9507,0.6253,0.05644,0.01934,0
196/299,17.4G,0.03037,0.008605,0,0.03897,178,640,0.9194,0.915,0.9508,0.6234,0.05568,0.0196,0
197/299,17.4G,0.0302,0.008358,0,0.03855,201,640,0.9127,0.9127,0.946,0.6228,0.05632,0.0195,0
198/299,17.4G,0.0303,0.008692,0,0.039,220,640,0.9028,0.9196,0.947,0.6201,0.05608,0.01983,0
199/299,17.4G,0.03046,0.008828,0,0.03928,187,640,0.8925,0.9222,0.9474,0.6234,0.05544,0.02013,0
200/299,17.4G,0.02999,0.008236,0,0.03823,187,640,0.916,0.9057,0.9559,0.6271,0.05374,0.02035,0
201/299,17.4G,0.02954,0.008826,0,0.03837,157,640,0.9164,0.9104,0.9551,0.631,0.05364,0.0202,0
202/299,17.4G,0.02973,0.00844,0,0.03817,204,640,0.9102,0.9079,0.9546,0.6262,0.05502,0.01984,0
203/299,17.4G,0.02973,0.008709,0,0.03844,219,640,0.8999,0.9127,0.9533,0.6271,0.05667,0.0194,0
204/299,17.4G,0.02889,0.008119,0,0.03701,195,640,0.8924,0.9198,0.9531,0.6284,0.05671,0.01953,0
