epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
188/299,17.7G,0.02925,0.005994,0,0.03524,60,640,0.7623,0.5085,0.6261,0.3294,0.0658,0.04585,0
189/299,17.7G,0.03148,0.005487,0,0.03697,33,640,0.737,0.523,0.6324,0.3315,0.06675,0.0449,0
190/299,17.7G,0.02964,0.005924,0,0.03556,39,640,0.7757,0.5116,0.6345,0.3463,0.06721,0.04466,0
191/299,17.7G,0.02747,0.005379,0,0.03284,28,640,0.7936,0.5116,0.6399,0.3506,0.06708,0.04577,0
192/299,17.7G,0.02849,0.005265,0,0.03375,33,640,0.7957,0.4903,0.6189,0.3428,0.06696,0.04658,0
193/299,17.7G,0.03033,0.005628,0,0.03595,35,640,0.7221,0.495,0.6055,0.3345,0.06746,0.04498,0
194/299,17.7G,0.03009,0.005627,0,0.03572,48,640,0.6965,0.4816,0.599,0.3298,0.06681,0.04423,0
195/299,17.7G,0.02763,0.005463,0,0.03309,31,640,0.6563,0.5208,0.6202,0.3409,0.06654,0.04346,0
196/299,17.7G,0.03105,0.005866,0,0.03692,27,640,0.7748,0.47,0.6127,0.3352,0.06682,0.04356,0
197/299,17.7G,0.0296,0.005401,0,0.035,38,640,0.7804,0.4709,0.605,0.3368,0.06635,0.04477,0
198/299,17.7G,0.02927,0.005486,0,0.03475,44,640,0.6896,0.5306,0.605,0.3429,0.06637,0.04558,0
199/299,17.7G,0.03,0.005725,0,0.03572,53,640,0.7016,0.5299,0.6036,0.3403,0.06708,0.04434,0
200/299,17.7G,0.02925,0.005807,0,0.03506,53,640,0.8356,0.4923,0.6195,0.3458,0.06688,0.0438,0
201/299,17.7G,0.02831,0.005665,0,0.03398,43,640,0.8129,0.4874,0.614,0.3438,0.06674,0.0441,0
202/299,17.7G,0.02719,0.005531,0,0.03272,45,640,0.7996,0.4669,0.6043,0.3383,0.06645,0.04622,0
203/299,17.7G,0.03066,0.005279,0,0.03594,43,640,0.7473,0.4865,0.6007,0.3358,0.0668,0.04668,0
204/299,17.7G,0.02887,0.005563,0,0.03444,47,640,0.8041,0.4739,0.5945,0.3354,0.06633,0.04731,0
205/299,17.7G,0.02744,0.005529,0,0.03297,24,640,0.8075,0.4836,0.608,0.3324,0.0664,0.04693,0
206/299,17.7G,0.0265,0.00561,0,0.03211,34,640,0.8152,0.4913,0.634,0.341,0.06604,0.04595,0
207/299,17.7G,0.03006,0.005596,0,0.03565,44,640,0.7891,0.5019,0.6459,0.3477,0.06572,0.04626,0
208/299,17.7G,0.02706,0.005701,0,0.03276,47,640,0.8031,0.5242,0.6477,0.3511,0.0668,0.04555,0
209/299,17.7G,0.02829,0.005319,0,0.0336,36,640,0.7877,0.5029,0.6158,0.3385,0.06732,0.04665,0
210/299,17.7G,0.02879,0.005459,0,0.03425,46,640,0.802,0.4942,0.6327,0.3417,0.06668,0.04601,0
211/299,17.7G,0.02716,0.005443,0,0.0326,39,640,0.7499,0.5102,0.6395,0.3431,0.06555,0.04561,0
212/299,17.7G,0.02956,0.005492,0,0.03505,56,640,0.7715,0.4931,0.6326,0.3281,0.06607,0.04587,0
213/299,17.7G,0.02834,0.00567,0,0.03401,42,640,0.6947,0.5155,0.6163,0.3237,0.06648,0.04769,0
214/299,17.7G,0.02951,0.005391,0,0.0349,33,640,0.8137,0.4603,0.63,0.3419,0.06567,0.04643,0
215/299,17.7G,0.02559,0.005398,0,0.03099,43,640,0.7955,0.4515,0.6342,0.348,0.06501,0.04621,0
216/299,17.7G,0.02809,0.005583,0,0.03368,33,640,0.773,0.4445,0.6344,0.346,0.06519,0.04466,0
217/299,17.7G,0.02965,0.005646,0,0.03529,51,640,0.538,0.5957,0.6277,0.3444,0.06572,0.04459,0
218/299,17.7G,0.03015,0.005543,0,0.03569,52,640,0.5276,0.6112,0.6331,0.359,0.06514,0.04537,0
219/299,17.7G,0.02853,0.005573,0,0.0341,43,640,0.6481,0.5406,0.6472,0.3656,0.06476,0.04512,0
220/299,17.7G,0.02634,0.005537,0,0.03187,57,640,0.6501,0.548,0.6476,0.3611,0.06485,0.04517,0
221/299,17.7G,0.02934,0.005484,0,0.03482,48,640,0.6995,0.5493,0.6426,0.3489,0.06576,0.04622,0
222/299,17.7G,0.0296,0.005493,0,0.0351,41,640,0.6956,0.5371,0.6295,0.3479,0.06595,0.04752,0
