epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
183/299,12.8G,0.02979,0.005711,0,0.0355,51,640,0.6513,0.6838,0.7301,0.3646,0.06044,0.03026,0
184/299,12.8G,0.03054,0.005621,0,0.03616,26,640,0.8493,0.616,0.7485,0.392,0.06044,0.03144,0
185/299,12.8G,0.03042,0.005426,0,0.03585,53,640,0.7399,0.6828,0.7356,0.3873,0.06041,0.03193,0
186/299,12.8G,0.03085,0.005513,0,0.03636,53,640,0.7817,0.6441,0.7351,0.3847,0.06025,0.03071,0
187/299,12.8G,0.03025,0.005432,0,0.03568,28,640,0.816,0.589,0.7141,0.3679,0.05828,0.03144,0
188/299,12.8G,0.02968,0.005183,0,0.03486,32,640,0.6744,0.6799,0.7073,0.355,0.06029,0.03048,0
189/299,12.8G,0.03347,0.005445,0,0.03892,42,640,0.7046,0.5859,0.6698,0.3454,0.05955,0.03182,0
190/299,12.8G,0.03272,0.005482,0,0.0382,22,640,0.7831,0.5996,0.7123,0.3595,0.06004,0.0309,0
191/299,12.8G,0.03063,0.00607,0,0.0367,61,640,0.6773,0.6739,0.7122,0.3523,0.05933,0.03096,0
192/299,12.8G,0.03203,0.005568,0,0.0376,32,640,0.6847,0.5733,0.6807,0.3459,0.05989,0.03157,0
193/299,12.8G,0.03274,0.005072,0,0.03781,43,640,0.8217,0.5792,0.7123,0.3653,0.05926,0.03139,0
194/299,12.8G,0.03062,0.005482,0,0.0361,43,640,0.7703,0.6196,0.7429,0.3782,0.05809,0.03091,0
195/299,12.8G,0.03159,0.005833,0,0.03742,66,640,0.6374,0.6925,0.699,0.3494,0.05754,0.03161,0
196/299,12.8G,0.03062,0.005878,0,0.0365,45,640,0.7275,0.692,0.7303,0.3717,0.05783,0.0303,0
197/299,12.8G,0.03027,0.005278,0,0.03555,38,640,0.7254,0.6934,0.7387,0.3726,0.05621,0.03123,0
198/299,12.8G,0.02907,0.00582,0,0.03489,63,640,0.7275,0.588,0.7018,0.3625,0.05484,0.03223,0
199/299,12.8G,0.02863,0.005462,0,0.03409,41,640,0.634,0.6518,0.6814,0.3542,0.05497,0.03336,0
200/299,12.8G,0.02725,0.005743,0,0.03299,40,640,0.6746,0.6134,0.6786,0.3405,0.05629,0.03347,0
201/299,12.8G,0.03138,0.005552,0,0.03694,37,640,0.6298,0.6257,0.6719,0.3422,0.05631,0.03247,0
202/299,12.8G,0.03111,0.005292,0,0.0364,45,640,0.6288,0.6654,0.6654,0.3452,0.05564,0.03284,0
203/299,12.8G,0.02727,0.005245,0,0.03251,40,640,0.6125,0.6809,0.6764,0.3453,0.0558,0.03323,0
204/299,12.8G,0.02705,0.005496,0,0.03255,38,640,0.7824,0.6083,0.7285,0.3717,0.05564,0.03188,0
205/299,12.8G,0.03181,0.005513,0,0.03733,58,640,0.8545,0.5851,0.7342,0.3832,0.05509,0.03242,0
206/299,12.8G,0.02879,0.005547,0,0.03433,50,640,0.8899,0.5629,0.7379,0.3828,0.05593,0.03218,0
207/299,12.8G,0.03006,0.00529,0,0.03535,41,640,0.7857,0.5993,0.7267,0.3711,0.0566,0.03152,0
208/299,12.8G,0.02903,0.005092,0,0.03412,50,640,0.8493,0.5725,0.7103,0.363,0.0565,0.03212,0
209/299,12.8G,0.02983,0.005379,0,0.03521,46,640,0.7017,0.6233,0.6905,0.3583,0.05494,0.03398,0
210/299,12.8G,0.02958,0.005487,0,0.03507,42,640,0.6459,0.6992,0.6936,0.3673,0.05464,0.03355,0
211/299,12.8G,0.03148,0.005429,0,0.03691,56,640,0.72,0.7176,0.7255,0.3836,0.055,0.03233,0
212/299,12.8G,0.03015,0.005272,0,0.03542,42,640,0.7016,0.6847,0.7259,0.3776,0.05607,0.03164,0
213/299,12.8G,0.0263,0.005412,0,0.03171,64,640,0.7758,0.6277,0.7335,0.3784,0.05636,0.03129,0
214/299,12.8G,0.0302,0.005105,0,0.03531,45,640,0.7896,0.618,0.727,0.367,0.05589,0.03243,0
215/299,12.8G,0.02864,0.005377,0,0.03401,30,640,0.7413,0.618,0.7027,0.3524,0.056,0.03296,0
216/299,12.8G,0.02805,0.005253,0,0.0333,50,640,0.738,0.6354,0.7121,0.3645,0.05636,0.03285,0
217/299,12.8G,0.02955,0.005065,0,0.03461,43,640,0.7812,0.6215,0.7319,0.3725,0.05549,0.03345,0
218/299,12.8G,0.03138,0.005265,0,0.03665,34,640,0.7455,0.6687,0.7367,0.3715,0.05709,0.03158,0
219/299,12.8G,0.02942,0.005113,0,0.03453,52,640,0.6852,0.7515,0.7701,0.3817,0.05686,0.03064,0
220/299,12.8G,0.03018,0.005522,0,0.0357,51,640,0.7445,0.7282,0.7613,0.386,0.05719,0.03105,0
221/299,12.8G,0.02878,0.005267,0,0.03404,37,640,0.7094,0.7137,0.7502,0.3668,0.05779,0.03255,0
222/299,12.8G,0.03043,0.005357,0,0.03579,55,640,0.7037,0.6843,0.7358,0.3677,0.05828,0.03222,0
223/299,12.8G,0.02815,0.005227,0,0.03337,44,640,0.6702,0.6673,0.7222,0.3685,0.05838,0.03219,0
