epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
134/299,12.8G,0.04484,0.007723,0,0.05256,201,640,0.9411,0.8703,0.9383,0.6228,0.05921,0.02084,0
135/299,12.8G,0.04868,0.007881,0,0.05656,188,640,0.946,0.8271,0.9342,0.618,0.05878,0.02087,0
136/299,12.8G,0.04363,0.007817,0,0.05145,196,640,0.9423,0.8481,0.941,0.6224,0.05868,0.02109,0
137/299,12.8G,0.04702,0.007892,0,0.05492,200,640,0.9077,0.8821,0.9434,0.6275,0.05894,0.02126,0
138/299,12.8G,0.04851,0.007928,0,0.05644,174,640,0.9167,0.8939,0.9475,0.6337,0.05892,0.02124,0
139/299,12.8G,0.04824,0.007586,0,0.05583,180,640,0.9605,0.8607,0.9477,0.6317,0.05987,0.0204,0
140/299,12.8G,0.04517,0.008134,0,0.0533,211,640,0.9223,0.8961,0.9534,0.6375,0.06106,0.01953,0
141/299,12.8G,0.04994,0.008077,0,0.05801,175,640,0.9545,0.8914,0.9526,0.638,0.06085,0.01913,0
142/299,12.8G,0.03561,0.007751,0,0.04336,200,640,0.941,0.9032,0.9567,0.6455,0.06017,0.01959,0
143/299,12.8G,0.04875,0.007652,0,0.0564,178,640,0.9204,0.9268,0.9605,0.6392,0.05628,0.0209,0
144/299,12.8G,0.04513,0.007855,0,0.05299,184,640,0.9016,0.908,0.9529,0.6274,0.0527,0.02284,0
145/299,12.8G,0.04257,0.007425,0,0.04999,176,640,0.9,0.8914,0.9476,0.6264,0.05625,0.02208,0
146/299,12.8G,0.04281,0.008319,0,0.05113,231,640,0.958,0.8726,0.9458,0.6171,0.06177,0.02042,0
147/299,12.8G,0.05524,0.007705,0,0.06294,199,640,0.9261,0.8868,0.9433,0.6162,0.05473,0.02257,0
148/299,12.8G,0.04743,0.008111,0,0.05555,215,640,0.921,0.9079,0.9502,0.6194,0.05227,0.02279,0
149/299,12.8G,0.04485,0.007946,0,0.0528,210,640,0.9083,0.9127,0.9539,0.6226,0.05209,0.02281,0
150/299,12.8G,0.04801,0.008136,0,0.05614,205,640,0.927,0.8984,0.957,0.6307,0.05244,0.02254,0
151/299,12.8G,0.0477,0.007518,0,0.05521,179,640,0.9114,0.922,0.9577,0.6392,0.05226,0.02249,0
152/299,12.8G,0.05852,0.007389,0,0.06591,205,640,0.92,0.922,0.9603,0.6472,0.05214,0.02241,0
153/299,12.8G,0.05482,0.007639,0,0.06246,212,640,0.9327,0.915,0.9547,0.6414,0.05234,0.02241,0
154/299,12.8G,0.05038,0.007376,0,0.05776,210,640,0.921,0.9079,0.9582,0.638,0.05222,0.0223,0
155/299,12.8G,0.04795,0.007623,0,0.05557,189,640,0.9151,0.9148,0.9598,0.6439,0.05207,0.02212,0
156/299,12.8G,0.05458,0.007576,0,0.06215,192,640,0.9522,0.8962,0.9608,0.6426,0.0518,0.02195,0
157/299,12.8G,0.05223,0.007467,0,0.0597,205,640,0.9528,0.9047,0.9646,0.6524,0.05155,0.02198,0
158/299,12.8G,0.04548,0.007304,0,0.05279,184,640,0.9412,0.908,0.9644,0.6395,0.05182,0.02279,0
159/299,12.8G,0.04969,0.007354,0,0.05705,207,640,0.9348,0.9127,0.9614,0.6401,0.05204,0.02293,0
160/299,12.8G,0.04653,0.006912,0,0.05344,192,640,0.9346,0.9103,0.9573,0.643,0.05243,0.0229,0
